,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,Q1_Browser,Q1_Version,Q1_Operating System,Q1_Resolution,Q3,Q4,Q5,Q6,Q7,Q29,Q8,Q9,Q31,Q10,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Path,Q30,Q32,Q33,Q41,Q36,Q39,,Q38_1    Mesa Management,Q38_2   Mackenzie Dunn,,Q32,Q27,Q28,Q29,Q31,,Q32 - Topics
9/29/2017 14:27,9/29/2017 14:49,IP Address,132.160.235.13,100,1335,TRUE,9/29/2017 14:49,R_9odoLcCCLNvgEM1,,,,,21.34300232,-157.934906,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.3,1920x1200,47,Elephant,Male,33,Asian,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$100,000 to $199,999",I have no preference for either party,96814,0,0,1073.512,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,I don't feel like Mesa Management is guilty of negligence. People do trip and fall. It may have just been bad luck or happenstance that it occurred twice to two different people. A slight 7 degree incline shouldn't make that much of a difference between being negligent and not having any problems. ,The defendant's insurance company,No,No,,,Unknown
9/29/2017 14:44,9/29/2017 15:02,IP Address,73.8.31.144,100,1047,TRUE,9/29/2017 15:02,R_1JCMnOT1xjFjVBG,,,,,41.60450745,-87.99559784,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.3,1366x768,47,Elephant,Female,57,White,"Yes, Mexican/Mexican American/Chicano",High school graduate (diploma or GED),"$100,000 to $199,999",I strongly prefer Democrats,60441,0,0,891.323,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,A lot of people have gone up and down those stairs over the years.  Two have fallen.  That is such a small percent that it doesn't even begin to prove that there was something wrong with the stairs.,The defendant's insurance company,No,No,,,Unknown
9/29/2017 15:09,9/29/2017 15:27,IP Address,174.140.64.232,100,1102,TRUE,9/29/2017 15:27,R_6MrSUeLsNwibvUZ,,,,,39.89370728,-79.74919891,anonymous,EN,"Yes, I consent",Firefox,52,Windows NT 5.1,1092x819,47,Elephant,Male,55,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","Less than $10,000",I strongly prefer Republicans,15401,918.879,918.879,919.833,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,the plaintiff was negligent. she has proven she is capable of successfully descending the stairs without injury until her negligence resulted in her injury.,The defendant's insurance company,No,No,,,Unknown
9/29/2017 15:55,9/29/2017 16:16,IP Address,71.195.101.223,100,1284,TRUE,9/29/2017 16:16,R_9ylaBZiV7Cag0E1,,,,,37.34770203,-120.6091003,anonymous,EN,"Yes, I consent",Chrome,62.0.3202.38,Windows NT 10.0,1536x864,47,Elephant,Female,41,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"$50,000 to $99,999",I strongly prefer Democrats,95301,0,0,899.972,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"While it would have been nice if Mesa Management had retrofitted the stairs after the first tenant fell, they were under no obligation to do so, since the stairs do not violate any code that they are currently under.",The defendant's insurance company,No,No,,,Unknown
9/29/2017 18:28,9/29/2017 18:51,IP Address,69.125.65.103,100,1348,TRUE,9/29/2017 18:51,R_31NQco9UmAZndfQ,,,,,40.88589478,-74.04679871,anonymous,EN,"Yes, I consent",Firefox,54,Windows NT 6.1,1600x900,47,Elephant,Male,34,Asian,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$50,000 to $99,999",I lean toward Democrats,7652,42.754,78.141,1068.43,2,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"(1) This did not occur the first time Ms. Dunn used the stairs.  She was consciously aware from previous use of the stairs that they were somewhat steep and could be dangerous.
(2) She had the option NOT to use the stairs.  She chose to use the stairs to access the basement, which is not an essential facility to use in the complex.
(3) The stairs were up to code according to the time they were constructed.",The defendant's insurance company,No,No,,,Unknown
9/29/2017 19:54,9/29/2017 20:14,IP Address,173.88.8.208,100,1232,TRUE,9/29/2017 20:14,R_Tpkl2I3dPltGvfj,,,,,40.73309326,-84.14459991,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.3,1366x768,47,Elephant,Female,57,White,"No, not Spanish/Hispanic/Latino","Master's degree (e.g. MBA, MA, or MS)","$50,000 to $99,999",I lean toward Republicans,45804,7.782,893.307,894.374,2,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"I think they were not negligent because the expert for the defense stated that the company was up to code on the stairs. He said no retrofit was needed and that the company would have to raise their rents if they fixed the stairs. Since there was no violation of code, I don't think they were negligent. Like the defense attorney said, she could have fallen for other reasons. It would be difficult to say that the stairs in of themselves caused the fall. She might have been tired or just careless going down the stairs. ",The defendant,Yes,No,,,Unknown
9/29/2017 20:56,9/29/2017 21:16,IP Address,76.6.25.161,100,1181,TRUE,9/29/2017 21:16,R_rcmDWz3VeA8bUjL,,,,,35.27630615,-78.54679871,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.1,1280x800,47,Elephant,Male,31,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$10,000 to $29,999",I have no preference for either party,27589,0,0,892.711,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The management company was not negligent. The stairs were up to code and legally nothing was wrong with the stairs. If there is no evidence that the stairs were built incorrectly then the company cannot be considered negligent.,The defendant's insurance company,No,No,,,Unknown
9/30/2017 11:47,9/30/2017 12:04,IP Address,99.157.102.8,100,1052,TRUE,9/30/2017 12:04,R_1DpUAK6FivcNhCg,,,,,34.03309631,-84.60109711,anonymous,EN,"Yes, I consent",Firefox,55,Windows NT 10.0,1280x853,47,Elephant,Male,41,White,"Yes, other Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$100,000 to $199,999",I lean toward Republicans,30144,887.192,887.192,895.874,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"The stairs were built and passed according to code. They were as expected and nothing out of normal was done. Had they not passed code, then it would be their fault. But they built them to standards and then broke no laws.",The defendant's insurance company,No,No,,,Unknown
9/30/2017 12:56,9/30/2017 13:13,IP Address,69.132.233.195,100,1003,TRUE,9/30/2017 13:13,R_33vWspk1ndnPBJf,,,,,35.36250305,-81.57409668,anonymous,EN,"Yes, I consent",Chrome,60.0.3112.114,CrOS armv7l 9592.96.0,1366x768,47,Elephant,Male,39,White,"No, not Spanish/Hispanic/Latino","Professional degree (e.g. MD, DDS, or JD)","$50,000 to $99,999",I strongly prefer Democrats,28150,116.264,420.441,896.366,2,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,This could happen to anhyone.  It was an aciident. ,The defendant's insurance company,No,No,,,Unknown
9/30/2017 14:15,9/30/2017 14:26,IP Address,184.53.48.249,100,619,TRUE,9/30/2017 14:26,R_2S0oGzlVj1Lx01T,,,,,37.75100708,-97.8219986,anonymous,EN,"Yes, I consent",Firefox,56,Windows NT 10.0,1920x1080,47,Elephant,Male,31,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$50,000 to $99,999",I strongly prefer Republicans,43125,0,0,196.006,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,At the end of the day the women is repsonsible for her own volition of action and to say her injury is the fault of others to the point of reimbursement of injury is fallacious,The defendant's insurance company,Yes,No,,,Unknown
9/30/2017 16:19,9/30/2017 16:38,IP Address,98.193.185.103,100,1119,TRUE,9/30/2017 16:38,R_2xAdYVaSxcRzh2U,,,,,36.06089783,-86.96089935,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,1366x768,47,Elephant,Male,25,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"$10,000 to $29,999",I strongly prefer Republicans,37209,0,0,904.801,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"She simply should have been more careful. People have a responsibility to assess the danger of a situation, and take precautions accordingly. The stairs were at a legal angle, and if they were dangerous, she should have been more careful. If she truly wanted compensation for the injury, she wouldn't demand more than twice the value of the medical bill.",The defendant's insurance company,No,No,,,Unknown
10/1/2017 21:22,10/1/2017 21:40,IP Address,96.255.245.38,100,1116,TRUE,10/1/2017 21:40,R_VO9iCBMS4BhcMTL,,,,,38.92280579,-76.88839722,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,1366x768,47,Elephant,Male,25,Black or African American,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$50,000 to $99,999",I have no preference for either party,20774,280.383,281.13,899.704,2,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"Well as the lawyer for Mesa Management stated, the company was up to code regarding the stairs. To me this means they showed a level of care that was not negligent. ",The defendant's insurance company,No,No,,,
10/1/2017 21:47,10/1/2017 22:07,IP Address,71.61.134.66,100,1169,TRUE,10/1/2017 22:07,R_1eFdQSnyDlQwZUt,,,,,40.97079468,-80.3010025,anonymous,EN,"Yes, I consent",Chrome,49.0.2623.112,Windows NT 5.1,1280x800,47,Elephant,Male,37,White,"No, not Spanish/Hispanic/Latino",Some college credit,"$10,000 to $29,999",I lean toward Democrats,16101,0,0,847.077,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,I believe Ms. Dunn was the negligent party here. I think the steps were acceptable and she can't prove that she didn't just misstep or was rushing. I think the expert saying that the steps were alright was more convincing than her expert witness and think it was just an accident due to her own fault. ,The defendant's insurance company,No,No,,,
10/2/2017 2:43,10/2/2017 3:02,IP Address,72.2.246.9,100,1127,TRUE,10/2/2017 3:02,R_3Doris93uCnsSIc,,,,,37.96969604,-86.15190125,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,1366x768,47,Elephant,Female,57,White,"No, not Spanish/Hispanic/Latino",Some college credit,"$50,000 to $99,999",I lean toward Democrats,40176,0,0,904.393,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The stairway where the Plaintiff fell was up to building codes.  They did not prove that there was anything wrong with the stairs other than they were steep.  It is not negligent it they are up to code in the area where they are located.,The defendant's insurance company,No,No,,,
10/2/2017 6:47,10/2/2017 7:11,IP Address,174.61.177.251,100,1423,TRUE,10/2/2017 7:11,R_3qIOinkFZSR5kcR,,,,,47.22749329,-122.5401001,anonymous,EN,"Yes, I consent",Firefox,55,Windows NT 6.3,1280x720,47,Elephant,Female,53,White,"No, not Spanish/Hispanic/Latino",Associate's degree (e.g. AA or AS),"$30,000 to $49,999",I strongly prefer Democrats,98422,0,0,1100.834,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"When the stairs were constructed, they were built to code.  The management company is not required to change the stairs just because the building code changes.  A handrail is next to the stairs to provide safety.  If the plaintiff was using the hand rail, she probably would not have fallen.",The defendant's insurance company,No,No,,,
10/2/2017 7:12,10/2/2017 7:31,IP Address,24.59.5.2,100,1152,TRUE,10/2/2017 7:31,R_2wjySUDcHRhOoYu,,,,,42.96890259,-75.08899689,anonymous,EN,"Yes, I consent",Chrome,49.0.2623.112,Macintosh,1024x768,47,Elephant,Female,65,White,"No, not Spanish/Hispanic/Latino",Associate's degree (e.g. AA or AS),"$50,000 to $99,999",I have no preference for either party,13407,0,0,892.662,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"I think this accident was Ms. Dunn's fault because she may have been rushing and was carrying camping gear which prevented her from getting a good view of the stairs she was descending. The stairs are within the legal guidelines in their steepness, and I think it was just an unfortunate accident that Ms. Dunn caused herself.",The defendant's insurance company,No,No,,,
10/2/2017 7:21,10/2/2017 7:38,IP Address,107.2.16.121,100,1004,TRUE,10/2/2017 7:38,R_12DuWcmFQp5ImOZ,,,,,32.30889893,-111.1662979,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,2560x1440,47,Elephant,Male,34,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"$50,000 to $99,999",I have no preference for either party,85742,0,0,893.188,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"The stairs were up to code in the county they were built in, even if they weren't allowed in some other counties in the state.",The defendant's insurance company,No,No,,,
10/2/2017 7:57,10/2/2017 8:15,IP Address,73.209.64.113,100,1096,TRUE,10/2/2017 8:15,R_3GD4dveSSrTKhsn,,,,,41.55050659,-87.50260162,anonymous,EN,"Yes, I consent",Chrome,60.0.3112.90,Windows NT 10.0,1920x1080,47,Elephant,Male,34,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"$30,000 to $49,999",I have no preference for either party,46322,13.337,903.81,920.729,12,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"She fell down, like many people do, on all types of stairs. She probably tried to rush down and didn't look where she was going and that's why she fell and hurt herself.",The defendant's insurance company,Yes,No,,,
10/2/2017 8:31,10/2/2017 8:50,IP Address,68.235.37.83,100,1140,TRUE,10/2/2017 8:50,R_29dmhR1ZyHn6E45,,,,,41.76060486,-88.32009888,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Macintosh,1920x1080,47,Elephant,Male,32,White,"Yes, Cuban",Some college credit,"$30,000 to $49,999",I lean toward Democrats,33125,330.349,330.349,920.251,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The stairs were up to code at the time of construction in the 1980's. Only two people have fallen in thousands of times the stairs have been used.,The defendant's insurance company,No,No,,,
10/2/2017 9:01,10/2/2017 9:19,IP Address,98.122.84.61,100,1113,TRUE,10/2/2017 9:19,R_2dXZKTBdjWfqylX,,,,,32.96470642,-80.20149994,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,1536x864,47,Elephant,Male,40,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"Less than $10,000",I lean toward Democrats,22487,0,0,893.198,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,well they had someone look at the stairs and they were alright being built before 2000. so i thought that they weren't responsible for her injuries. i think she was coming back from a weekend out and was tired and she feel down the stairs.  ,The defendant's insurance company,Yes,No,,,
10/2/2017 9:20,10/2/2017 9:43,IP Address,47.151.38.124,100,1376,TRUE,10/2/2017 9:43,R_XEXjawMkPr9Ju9z,,,,,33.97090149,-118.0194016,anonymous,EN,"Yes, I consent",Firefox,55,Windows NT 10.0,1920x1080,47,Elephant,Female,54,White,"No, not Spanish/Hispanic/Latino",Associate's degree (e.g. AA or AS),"$100,000 to $199,999",I strongly prefer Democrats,90605,19.343,19.343,893.947,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"As stated by the defendant's lawyer, the stairs were built up to code at the time the building was built.  Therefore, they are not responsible for the plaintiff's accident. ",The defendant's insurance company,Yes,Yes,"At first I thought that the defendant was at fault because the stairs were not up to code, as stated by the building inspector hired by the plantiff's lawyer, so I thought that the defendant should pay for expenses.  But after the defendant's building expert stated that the build was up to code at the time it was built, my decision changed to that of the plantiff should be paying for her own injuries.",,
